iter	RMSE
0	5595.044714
1	5385.660409
2	5178.456091
3	4971.418068
4	4798.447091
5	4633.166978
6	4447.058852
7	4278.075168
8	4112.061717
9	3970.392117
10	3807.022589
11	3688.989448
12	3574.891174
13	3437.294287
14	3310.792015
15	3196.833656
16	3101.621316
17	2995.901644
18	2884.857688
19	2779.825973
20	2691.992339
21	2605.282466
22	2513.012978
23	2440.277167
24	2353.242339
25	2278.102135
26	2189.324906
27	2111.606442
28	2039.170394
29	1972.972604
30	1920.795971
31	1862.42139
32	1810.501643
33	1753.684728
34	1701.253437
35	1656.540856
36	1607.240161
37	1550.733131
38	1501.783808
39	1456.212397
40	1421.345718
41	1375.422578
42	1337.425936
43	1302.537625
44	1271.027086
45	1242.831848
46	1218.15529
47	1191.039515
48	1155.140794
49	1125.11828
50	1093.47315
51	1063.353777
52	1035.079
53	1008.305072
54	980.0187606
55	961.5418687
56	943.178082
57	921.0071228
58	902.4289468
59	884.8027207
60	865.2999191
61	850.2929385
62	834.7518941
63	816.3251651
64	802.9419378
65	788.2839525
66	772.0985692
67	759.2901508
68	745.3208546
69	730.2453008
70	714.9976619
71	704.5766184
72	692.2195405
73	682.2204515
74	669.9582028
75	658.0929285
76	648.9249757
77	638.6772175
78	629.400651
79	618.4758028
80	611.2294781
81	604.289872
82	597.2674742
83	589.3862342
84	584.5742129
85	577.5731943
86	573.2489797
87	565.1348976
88	561.1696268
89	554.9086525
90	548.5332419
91	543.8414006
92	537.8625244
93	532.7138131
94	528.1310042
95	523.2320732
96	517.8102119
97	513.210866
98	509.3543932
99	505.971969
100	500.2787806
101	496.2184991
102	494.0517158
103	489.3793165
104	485.2661489
105	482.4292726
106	478.8728595
107	476.2458716
108	472.9101235
109	470.503901
110	467.8837106
111	466.0629439
112	463.1361473
113	459.100018
114	456.529649
115	452.6872478
116	449.5885202
117	446.2280076
118	443.9304345
119	441.9770438
120	439.592404
121	437.1308867
122	435.4256117
123	433.2823793
124	430.7752478
125	428.9010056
126	426.6236595
127	425.5777733
128	423.1741824
129	421.0978889
130	419.3484604
131	417.9626907
132	416.572411
133	414.5923032
134	413.5297458
135	411.3156882
136	409.9058784
137	408.4924238
138	407.0170461
139	405.7839113
140	404.4285701
141	403.3182727
142	402.438509
143	401.2592863
144	399.8019227
145	398.4452702
146	396.9616454
147	395.8023949
148	394.5085304
149	393.1050634
150	391.7942898
151	389.6232387
152	387.9384954
153	386.038326
154	384.9876253
155	383.3296086
156	382.0124319
157	380.6881692
158	380.0565873
159	378.2767748
160	376.9494752
161	375.7518851
162	374.5790329
163	373.6500826
164	372.9289788
165	371.5563761
166	370.6893354
167	369.2314365
168	368.2981354
169	367.6425281
170	365.7891475
171	363.8189642
172	362.7465467
173	361.520278
174	361.0171393
175	359.5646243
176	359.0057675
177	357.3507369
178	356.4910827
179	355.0745498
180	353.9908372
181	353.4576761
182	352.3677266
183	351.4321057
184	350.6340561
185	350.1693782
186	348.5553106
187	347.1102321
188	346.176545
189	345.4289309
190	344.2382884
191	343.3137946
192	342.4421777
193	341.6143096
194	339.2456538
195	337.8601209
196	337.0776613
197	336.1965745
198	334.9656611
199	334.0815525
200	333.6431074
201	333.0533371
202	331.526422
203	330.3218989
204	329.5612519
205	328.5518668
206	327.8207721
207	326.6552154
208	326.0891776
209	325.1662441
210	324.5795021
211	323.8323394
212	323.0298249
213	322.2537623
214	321.5139239
215	320.0656655
216	319.3320741
217	317.9610628
218	317.1735963
219	316.3311599
220	315.230541
221	314.0765406
222	312.9444627
223	312.1784219
224	311.6493634
225	310.8335886
226	310.1198641
227	309.4977868
228	308.144294
229	307.2725652
230	306.2102679
231	305.6409137
232	304.994884
233	304.0412304
234	303.0537474
235	302.1460156
236	301.4713878
237	300.7488812
238	299.730461
239	298.5750988
240	297.8439304
241	297.310199
242	296.5906065
243	295.8963991
244	295.3089045
245	294.3357878
246	293.7474792
247	292.7583265
248	291.9861312
249	291.1251884
250	290.2849564
251	289.5651167
252	288.5928712
253	287.8426736
254	287.0152085
255	286.256361
256	285.3084939
257	284.6186281
258	283.5319606
259	282.6192957
260	281.9741463
261	281.2394523
262	280.7575689
263	279.9650506
264	279.5133504
265	279.1390247
266	278.449553
267	278.0827339
268	277.733591
269	277.048275
270	276.3315242
271	275.7819962
272	275.2565394
273	274.7085559
274	274.0746347
275	273.6891917
276	273.0661164
277	272.5945763
278	272.0739076
279	271.6427056
280	270.7904956
281	269.9135635
282	269.3786542
283	268.9027167
284	268.156034
285	267.3438917
286	266.808698
287	266.2268884
288	265.6841001
289	265.1198675
290	264.5469349
291	264.1361572
292	263.7274252
293	263.3430539
294	262.7350128
295	262.0283519
296	261.4909874
297	261.031074
298	260.5381269
299	260.0458024
300	259.7302842
301	259.0351861
302	258.4848782
303	257.8222895
304	257.3055751
305	256.8734111
306	256.3200684
307	255.8514057
308	255.2586176
309	254.8569634
310	254.509304
311	254.1389377
312	253.8437572
313	253.3286215
314	252.71417
315	251.9783285
316	251.5002134
317	250.936663
318	250.4713396
319	250.0452671
320	249.7005492
321	249.0298298
322	248.4750209
323	248.0853124
324	247.7428337
325	247.4311935
326	247.1055417
327	246.6739674
328	246.4164564
329	246.0493767
330	245.6352206
331	245.3609147
332	244.8153475
333	244.3828902
334	244.0109937
335	243.7070293
336	243.4253648
337	243.1849744
338	242.9209963
339	242.6142775
340	242.118018
341	241.6597523
342	241.152968
343	240.7998872
344	240.4969722
345	240.2738631
346	239.9078901
347	239.3721484
348	238.9668122
349	238.4710865
350	238.0012617
351	237.6210522
352	237.3279892
353	236.9384793
354	236.6039475
355	236.2314278
356	235.8813351
357	235.3480146
358	234.8567382
359	234.5615032
360	234.1147959
361	233.7768289
362	233.5179389
363	233.3019612
364	232.928516
365	232.5993239
366	232.0993498
367	231.620587
368	231.2757035
369	231.0548707
370	230.6114315
371	230.386985
372	230.0763623
373	229.69508
374	229.3914184
375	229.1405538
376	228.8622657
377	228.3669716
378	228.0590085
379	227.8341375
380	227.557045
381	227.2123629
382	226.9150083
383	226.5983753
384	226.1816571
385	225.7727067
386	225.5131541
387	225.3414618
388	225.0005056
389	224.6469954
390	224.3541244
391	224.1376788
392	223.7763186
393	223.5488575
394	223.1667713
395	222.8545458
396	222.5662395
397	222.1604548
398	221.8439073
399	221.5024328
400	221.2756076
401	221.0672554
402	220.7318022
403	220.5545487
404	220.2453352
405	219.7816847
406	219.4668122
407	219.0807114
408	218.7271249
409	218.5237975
410	218.207826
411	217.8992504
412	217.5053318
413	217.2830173
414	217.1075939
415	216.836702
416	216.6143004
417	216.3003528
418	216.1233554
419	215.8384951
420	215.5697471
421	215.2822051
422	214.9944163
423	214.5210091
424	214.3228649
425	214.032933
426	213.8432516
427	213.6351184
428	213.3581845
429	213.0156215
430	212.6230175
431	212.2698786
432	211.8627751
433	211.5866823
434	211.1686327
435	210.913438
436	210.6950886
437	210.4984376
438	210.2342692
439	209.9131326
440	209.6263393
441	209.4024867
442	209.0825962
443	208.7931264
444	208.358179
445	208.2083193
446	208.0036892
447	207.7592463
448	207.5286169
449	207.2981095
450	207.1122469
451	206.8018005
452	206.61606
453	206.4897314
454	206.314703
455	205.9199934
456	205.7407106
457	205.5083556
458	205.2596905
459	204.9830625
460	204.6090332
461	204.394574
462	204.080474
463	203.7631959
464	203.4466195
465	203.2219261
466	202.9651526
467	202.7567277
468	202.5226877
469	202.3593699
470	202.0759414
471	201.903819
472	201.6980836
473	201.5285467
474	201.1942808
475	201.0066588
476	200.6523493
477	200.3804978
478	200.1621567
479	199.9860545
480	199.7042681
481	199.3792736
482	199.1237036
483	198.9125711
484	198.7942828
485	198.6302292
486	198.4683167
487	198.2899684
488	197.9725959
489	197.7902391
490	197.5315806
491	197.2966024
492	197.098602
493	196.8917929
494	196.5948573
495	196.4882171
496	196.2866848
497	196.0730688
498	195.8732336
499	195.570488
500	195.2518175
501	195.0671965
502	194.8809117
503	194.7291176
504	194.5568815
505	194.3979382
506	194.2302764
507	194.0770149
508	193.9389535
509	193.7755311
510	193.5362964
511	193.3968307
512	193.205037
513	193.0070154
514	192.8437381
515	192.6659598
516	192.4362397
517	192.2030469
518	192.0381602
519	191.8507634
520	191.6896273
521	191.5068996
522	191.3609042
523	191.0876337
524	190.9188223
525	190.730259
526	190.5930854
527	190.3971492
528	190.2516263
529	190.0952613
530	189.8763918
531	189.7035146
532	189.5446471
533	189.4267239
534	189.2495623
535	188.9879935
536	188.8045184
537	188.6655184
538	188.585306
539	188.3796684
540	188.16591
541	188.0781659
542	187.9395256
543	187.7569363
544	187.5178022
545	187.2644199
546	187.1407401
547	186.9892344
548	186.8421538
549	186.6583045
550	186.3973031
551	186.3039705
552	186.1387294
553	185.9408409
554	185.7521191
555	185.6075166
556	185.3371216
557	185.2354574
558	185.0027572
559	184.7804519
560	184.6691443
561	184.4574628
562	184.2319252
563	184.1480554
564	183.8986637
565	183.7784793
566	183.6329151
567	183.488958
568	183.3499508
569	183.1247739
570	182.9366053
571	182.6823317
572	182.4942936
573	182.3570661
574	182.1724007
575	181.9696006
576	181.8609684
577	181.7233368
578	181.4869686
579	181.306272
580	181.0993157
581	180.915446
582	180.7982904
583	180.6744021
584	180.5444921
585	180.2786527
586	180.1210567
587	179.9643902
588	179.7606447
589	179.613316
590	179.4142786
591	179.2754337
592	179.1190115
593	178.9339734
594	178.8060734
595	178.6526793
596	178.5448577
597	178.3953691
598	178.3048703
599	178.147863
600	178.0373205
601	177.8492666
602	177.7365361
603	177.4683189
604	177.3408341
605	177.1788097
606	177.0393332
607	176.8294199
608	176.5981149
609	176.4035125
610	176.2885116
611	176.1843043
612	176.0670241
613	175.7688536
614	175.601104
615	175.4869479
616	175.3798802
617	175.2728509
618	175.1238105
619	175.0196193
620	174.791364
621	174.7133201
622	174.5943446
623	174.4102725
624	174.2504669
625	174.0339559
626	173.9090179
627	173.7726408
628	173.5133804
629	173.4262218
630	173.2163406
631	173.0479336
632	172.873006
633	172.6547765
634	172.4471788
635	172.2818
636	172.1221733
637	171.9936806
638	171.8681888
639	171.6915937
640	171.6028786
641	171.4205765
642	171.2088982
643	171.1253985
644	170.994304
645	170.8084816
646	170.6556152
647	170.4880185
648	170.3542106
649	170.1319902
650	170.0318701
651	169.9336552
652	169.847281
653	169.7315042
654	169.5680557
655	169.4129139
656	169.2169935
657	169.1064626
658	168.9890129
659	168.8868857
660	168.7126295
661	168.6368281
662	168.4651245
663	168.3279305
664	168.220557
665	168.1411473
666	168.0516613
667	167.8932304
668	167.8085684
669	167.6914188
670	167.6263811
671	167.46383
672	167.3348275
673	167.1129013
674	166.9621557
675	166.8232678
676	166.6747985
677	166.5534424
678	166.4345621
679	166.3025073
680	166.204616
681	166.0379941
682	165.9391629
683	165.771857
684	165.6589916
685	165.5220899
686	165.4300665
687	165.2295083
688	165.0368184
689	164.9468726
690	164.828802
691	164.7647557
692	164.6624712
693	164.5638275
694	164.4350476
695	164.3244437
696	164.173653
697	164.0239256
698	163.9173531
699	163.8615824
700	163.6787411
701	163.5314897
702	163.4064328
703	163.2273247
704	163.0816743
705	162.9471378
706	162.8292855
707	162.5657474
708	162.4733496
709	162.3136553
710	162.2118053
711	162.1333327
712	162.0501559
713	161.9082506
714	161.7962926
715	161.65533
716	161.5247235
717	161.3830749
718	161.234481
719	161.115651
720	161.037186
721	160.878939
722	160.795958
723	160.6951093
724	160.5231395
725	160.4243718
726	160.3383241
727	160.2646906
728	160.1591911
729	160.0352977
730	159.8627247
731	159.7514298
732	159.6401088
733	159.5608443
734	159.4691829
735	159.3194198
736	159.2482781
737	159.1431173
738	159.0044546
739	158.9052507
740	158.7874279
741	158.7062266
742	158.5797171
743	158.4334417
744	158.2787828
745	158.1421583
746	158.0842192
747	157.9157325
748	157.8364519
749	157.7712834
750	157.6702569
751	157.5475686
752	157.4395887
753	157.3340386
754	157.1668714
755	157.0872811
756	156.985862
757	156.9108156
758	156.8405612
759	156.7543324
760	156.6520529
761	156.5738791
762	156.3934438
763	156.2623926
764	156.1856669
765	156.0589614
766	155.9636013
767	155.8850396
768	155.7999431
769	155.745994
770	155.6691353
